Q260,Jean-François Champollion
Q6541,Heino
Q6682,Gustave Doré
Q6691,Homer
Q6694,Alexander von Humboldt
Q6701,Jacob Grimm
Q6711,Allen Ginsberg
Q6714,Wilhelm Grimm
Q6722,Carl Friedrich Gauss
Q6733,Edward Teller
Q6817,Daniel Rosin
Q6882,James Joyce
Q6950,Tess Gerritsen
Q6969,Stefan Raab
Q7011,Kālidāsa
Q7013,Lena Meyer-Landrut
Q7031,Luca Signorelli
Q7060,Michel Onfray
Q7071,Li Bai
Q7068,Julien Offray de La Mettrie
Q7085,Niels Bohr
Q7091,Évariste Galois
Q7099,Emmy Noether
Q7103,Sophie Germain
Q7104,Baron d'Holbach
Q7122,Michel Audiard
Q7129,Cosimo Tura
Q7161,José María Ventura Casas
Q7170,Sallust
Q7176,Naguib Mahfouz
Q7177,Jean-Marie Le Pen
Q7186,Marie Curie
Q7195,Elizabeth Ann Nalley
Q7192,Qin Shi Huang
Q7198,Ovid
Q7199,Marcel Proust
Q7196,Qin Er Shi
Q7197,Simone de Beauvoir
Q7203,Ziying
Q7200,Alexander Pushkin
Q7201,Dorothy M. Needham
Q7207,Elizabeth I of England
Q7210,Emperor Gaozu of Han
Q7214,Emperor Hui of Han
Q7212,Pauline Newman
Q7217,Liu Gong
Q7222,Ahmose I
Q7223,Wilma Olson
Q7220,Emperor Houshao of Han
Q7221,Emperor Wen of Han
Q7226,Joan of Arc
Q7227,Emperor Zhao of Han
Q7224,Emperor Jing of Han
Q7225,Emperor Wu of Han
Q7230,Emperor Xuan of Han
Q7231,Rosa Luxemburg
Q7228,Prince of Changyi
Q7229,Marie-Anne Pierrette Paulze
Q7234,Emperor Cheng of Han
Q7235,Sophocles
Q7232,Emperor Yuan of Han
Q7236,Lucy Weston Pickett
Q7237,Emperor Ai of Han
Q7243,Leo Tolstoy
Q7241,Rabindranath Tagore
Q7247,Ruzi Ying
Q7244,Emperor Ping of Han
Q7245,Mark Twain
Q7250,Wang Mang
Q7251,Alan Turing
Q7249,Agnes Pockels
Q7255,Darshan Ranganathan
Q7259,Ada Lovelace
Q7262,Emperor Gengshi of Han
Q7267,Hazel Alden Reason
Q7265,Liu Penzi
Q7271,Emperor Ming of Han
Q7268,Emperor Guangwu of Han
Q7273,Ellen Swallow Richards
Q7276,Anca Mosoiu
Q7277,Emperor Zhang of Han
Q7282,Emperor Shang of Han
Q7280,Emperor He of Han
Q7286,Émilie du Châtelet
Q7287,Ruby Hirose
Q7285,Emperor An of Han
Q7290,Annette Salmeen
Q7288,Marquess of Beixiang
Q7289,Emperor Shun of Han
Q7294,Johannes Brahms
Q7292,Emperor Chong of Han
Q7293,Emperor Zhi of Han
Q7298,Antonín Dvořák
Q7299,Emperor Ling of Han
Q7297,Emperor Huan of Han
Q7302,George Frideric Handel
Q7300,Katsuko Saruhashi
Q7301,Prince of Hongnong
Q7306,Patsy O'Connell Sherman
Q7304,Gustav Mahler
Q7311,Giacomo Puccini
Q7309,Maxine Singer
Q7314,Igor Stravinsky
Q7315,Pyotr Ilyich Tchaikovsky
Q7312,Franz Schubert
Q7316,Emperor Xian of Han
Q7317,Giuseppe Verdi
Q7322,Cristoforo Colombo
Q7321,Jacques Cartier
Q7326,Hernán Cortés
Q7327,Yuri Gagarin
Q7324,James Cook
Q7331,Ibn Battuta
Q7328,Vasco da Gama
Q7335,Miep Gies
Q7333,Zheng He
Q7339,Margot Frank
Q7336,Otto Frank
Q7337,Edith Frank-Holländer
Q7346,John Coltrane
Q7345,Dan Brown
Q7351,Robert Schumann
Q7349,Joseph Haydn
Q7356,Emperor Wu of Jin
Q7357,Emperor Hui of Jin
Q7360,Sima Lun
Q7361,Emperor Huai of Jin
Q7371,Federico Fellini
Q7374,Alfred Hitchcock
Q7382,Emperor Min of Jin
Q7394,Emperor Cheng of Jin
Q7395,Emperor Kang of Jin
Q7392,Emperor Yuan of Jin
Q7393,Emperor Ming of Jin
Q7398,Emperor Ai of Jin
Q7399,Emperor Fei of Jin
Q7396,Emperor Mu of Jin
Q7402,Emperor Xiaowu of Jin
Q7403,Emperor An of Jin
Q7400,Emperor Jianwen of Jin
Q7406,Kamala Sohonie
Q7407,Andre Agassi
Q7404,Emperor Gong of Jin
Q7410,Anna Sundström
Q7409,Hertha Sponer
Q7415,Mária Telkes Arefereas
Q7412,Kathleen C. Taylor
Q7418,Emperor Wen of Sui
Q7419,Emperor Yang of Sui
Q7416,Margaret Thatcher
Q7417,Alice Y. Ting
Q7422,Yang Tong
Q7423,Karen Wetterhahn
Q7420,Emperor Gong of Sui
Q7421,Kathryn Uhrich
Q7426,Ada Yonath
Q7424,Elsie Widdowson
Q7431,Ruth Arnon
Q7429,Nina Andreyeva
Q7435,Leslie Barnett
Q7433,Myrtle Bachelder
Q7438,Emperor Jingzong of Western Xia
Q7439,Richard Stallman
Q7437,Irina Beletskaya
Q7442,Carolyn Ruth Bertozzi
Q7443,Emperor Yizong of Western Xia
Q7440,Ruth R. Benerito
Q7441,Helen M. Berman
Q7446,Rachel Fuller Brown
Q7447,Emma P. Carr
Q7444,Hazel Bishop
Q7445,Lucy Everest Boole
Q7450,Asima Chatterjee
Q7451,Emperor Chongzong of Western Xia
Q7448,Emperor Huizong of Western Xia
Q7449,Kevin Mitnick
Q7454,Emperor Huanzong of Western Xia
Q7452,Chen Yu-chie
Q7453,Emperor Renzong of Western Xia
Q7458,Emperor Xianzong of Western Xia
Q7459,Emperor Mozhu of Western Xia
Q7456,Emperor Xiangzong of Western Xia
Q7457,Emperor Shenzong of Western Xia
Q7463,Anat Cohen-Dayag
Q7460,Cleopatra the Alchemist
Q7465,Mildred Cohn
Q7470,Mary Peters Fieser
Q7471,Emperor Taizu of Song
Q7468,Catherine Coleman
Q7474,Rosalind Franklin
Q7475,Emperor Zhenzong of Song
Q7472,Joanna S. Fowler
Q7473,Emperor Taizong of Song
Q7478,Elizabeth Fulhame
Q7479,Emperor Yingzong of Song
Q7476,Helen Murray Free
Q7477,Emperor Renzong of Song
Q7482,Louise Hammarström
Q7483,Emperor Shenzong of Song
Q7480,Louise Giblin
Q7481,Mary L. Good
Q7486,Emperor Huizong of Song
Q7487,Dorothy Hodgkin
Q7484,Emperor Zhezong of Song
Q7485,Anna J. Harrison
Q7490,Clara Immerwahr
Q7491,Jane Stafford
Q7488,Emperor Qinzong of Song
Q7489,Emperor Gaozong of Song
Q7494,Emperor Guangzong of Song
Q7492,Emperor Xiaozong of Song
Q7493,Allene Jeanes
Q7498,Emperor Duzong of Song
Q7499,Mary the Jewess
Q7496,Emperor Ningzong of Song
Q7497,Emperor Lizong of Song
Q7503,Emperor Bing of Song
Q7500,Emperor Gong of Song
Q7501,Emperor Duanzong of Song
Q7506,Joyce Jacobson Kaufman
Q7504,Irène Joliot-Curie
Q7508,Ann A. Kiessling
Q7509,Stephanie L. Kwolek
Q7510,Jeehiun Lee
Q7511,Jing Li
Q7514,Olivia Lum
Q7515,Maud Menten
Q7513,Kathleen Lonsdale
Q7518,Christina Cruickshank Miller
Q7519,Ögedei Khan
Q7516,Jonny Lee Miller
Q7517,Tolui
Q7522,Carmen Hermosillo
Q7523,Kublai Khan
Q7520,Güyük Khan
Q7521,Möngke Khan
Q7526,Deborah Estrin
Q7524,Sue Gardner
Q7531,Louise Nevelson
Q7534,Elizabeth J. Feinler
Q7532,Judith Estrin
Q7538,Mary Gardiner
Q7539,Peyton Manning
Q7536,Valerie Aurora
Q7542,Prince
Q7543,Stacy Horn
Q7541,Sally Floyd
Q7546,Ingmar Bergman
Q7545,Kat Walsh
Q7549,Sandra Lerner
Q7554,Samuel Jacob Klein
Q7555,Jude Milhon
Q7552,Pattie Maes
Q7558,Radia Perlman
Q7557,Nicola Pellow
Q7562,Ping Fu
Q7563,Joyce K. Reynolds
Q7567,Jaime Levy Russell
Q7571,Patricio Albacete
Q7604,Leonhard Euler
Q7637,Ward Cunningham
Q7658,Heidi Weng
Q7667,Franz Klammer
Q7711,Jean-Marc Ayrault
Q7723,Napoleon II
Q7721,Napoleon III
Q7726,Joseph Buonaparte
Q7724,August Strindberg
Q7731,Alexis of Russia
Q7728,Grazia Deledda
Q7729,Louis Bonaparte
Q7732,"Louis XVI of France, Versailles"
Q7738,Louis XV of France
Q7742,Louis XIV of France
Q7747,Vladimir Putin
Q7750,Louis XVIII of France
Q7751,Giuseppe Arcimboldo
Q7758,Charles X of France
Q7767,Eduard Hau
Q7770,Francesco Bacchiacca
Q7771,Louis Philippe I
Q7780,Fra Bartolomeo
Q7789,Ambrogio Bergognone
Q7793,Donato Bramante
Q7799,Bramantino
Q7803,Bronzino
Q7814,Giotto di Bondone
Q7824,Annibale Carracci
Q7833,Boris Vian
Q7836,René Magritte
Q7841,Alfred Jarry
Q7855,Sébastien Loeb
Q7934,Frank Herbert
Q7981,Lluís Companys
Q7990,Rurik
Q7995,Conrad Nutschan
Q7999,Lluís Llach
Q7996,Ivan IV Vasilyevich
Q8003,Sergei Eisenstein
Q8006,Akira Kurosawa
Q8007,Franklin Delano Roosevelt
Q8005,Josep Tarradellas i Joan
Q8011,Avicenna
Q8015,Artur Mas
Q8018,Augustine of Hippo
Q8016,Winston Churchill
Q8023,Nelson Mandela
Q8027,Martin Luther King Jr.
Q8045,Ramesses VIII
Q8048,Seti II
Q8053,Jules Hardouin Mansart
Q8058,Louis XI of France
Q8056,Louis Antoine de Pardaillan de Gondrin
Q8159,Paul Bocuse
Q8160,Carly Rose Sonenclar
Q8219,Uta Frith
Q8237,Richard Holmes
Q8262,Kurt Von Hess
Q8270,Claes Gerritszoon Compaen
Q8286,Dean Ho
Q8287,Elmer Gethin Rees
Q8284,Ivan Dirkie De Veenboer
Q8289,Jamie Selkirk
Q8293,John Gilbert
Q8298,David Guetta
Q8296,Rupert Wyatt
Q8301,Stefen Fangmeier
Q8312,Nicholas Meyer
Q8318,Livio Berruti
Q8339,Scott Farrar
Q8342,Robert Legato
Q8346,Albert Arnold Gillespie
Q8351,Fred Sersen
Q8349,"""Weird Al"" Yankovic"
Q8354,John Frazier
Q8367,Hans Schmidt
Q8372,Craig Barron
Q8384,Louis X of France
Q8404,John I of France
Q8409,Alexander the Great
Q8413,Constantine the Great
Q8423,Cyrus the Great
Q8433,Philip V of France
Q8442,Otto von Bismarck
Q8440,Hugo Chávez
Q8446,Kurt Cobain
Q8453,Cima da Conegliano
Q8459,Giorgione
Q8457,Antonio da Correggio
Q8462,Timur
Q8467,Umar ibn Al-Khattāb
Q8468,Temür Khan
Q8474,Suleiman the Magnificent
Q8479,Peter the Great
Q8506,Il Sodoma
Q8511,Lorenzo di Credi
Q8512,Chris Corbould
Q8516,Nick Davis
Q8521,Tim Burke
Q8532,Külüg Khan
Q8537,Bernardino Luini
Q8540,Ayurbarwada Buyantu Khan
Q8549,Gegeen Khan
Q8556,Edsger W. Dijkstra
Q8560,Yesün Temür Khan
Q8570,Jonathan Glassner
Q8573,Sun Yat-sen
Q8581,Saladin
Q8586,Richard Edlund
Q8589,Ashoka
Q8599,Eric Barba
Q8597,Akbar
Q8605,Simón Bolívar
Q8612,Andrew Johnson
Q8619,Pierre Trudeau
Q8620,Kwame Nkrumah
Q8644,Gordon Jennings
Q8651,Douglas Shearer
Q8655,Jayaatu Khan
Q8653,Ragibagh Khan
Q8659,Khutughtu Khan
Q8662,L. B. Abbott
Q8666,Toghon Temür
Q8664,Rinchinbal Khan
Q8677,Juan Trippe
Q8704,Walt Disney
Q8728,Ken Ralston
Q8739,Archimedes
Q8743,Thomas Alva Edison
Q8741,Rüdiger Skoczowsky
Q8747,Euclid
Q8750,Michael Faraday
Q8755,Colin Maclaurin
Q8753,Enrico Fermi
Q8763,Fibonacci
Q8768,Henry Ford
Q8772,Joseph Fourier
Q8778,Galen
Q8776,Georg Falck
Q8781,Henrique Capriles Radonski
Q8796,Sandra Lombardi
Q8797,Aemilius Macer
Q8800,Gaius Maecenas Melissus
Q8808,Quintilius Varus
Q8809,Domitius Marsus
Q8814,Augustin-Louis Cauchy
Q8816,Marc Décimo
Q8817,Gaius Valgius Rufus
Q8820,Lucius Varius Rufus
Q8827,Propertius
Q8824,Aristius Fuscus
Q8825,Gaius Cornelius Gallus
Q8833,Gaius Maecenas
Q8863,Klaus Wowereit
Q8867,Gae Aulenti
Q8873,Satyajit Ray
Q8876,David Cicero
Q8877,Steven Spielberg
Q8884,Joey Moe
Q8902,Cristina Marcano
Q8916,Biligtü Khan Ayushiridara
Q8927,Marion Cotillard
Q8937,Uskhal Khan Tögüs Temür
Q8948,Arnošt Muka
Q8958,Johannes Gutenberg
Q8962,James Prescott Joule
Q8963,Johannes Kepler
Q8985,Jorightu Khan Yesüder
Q8998,Mo Yan
Q9021,Max Planck
Q9038,Al-Khwarizmi
Q9036,Nikola Tesla
Q9041,James Watt
Q9047,Gottfried Wilhelm Leibniz
Q9045,Chanakya
Q9049,Noam Chomsky
Q9061,Karl Marx
Q9066,Walter Dix
Q9068,Voltaire
Q9075,Shawn Crawford
Q9079,LaShawn Merritt
Q9082,Joseph Victor von Scheffel
Q9086,Jeremy Wariner
Q9090,David Neville
Q9094,José Mujica
Q9095,James Clerk Maxwell
Q9099,Tabaré Vázquez
Q9096,Wilfred Bungei
Q9100,Ismail Ahmed Ismail
Q9106,Dimitri Mendeleyev
Q9107,Asbel Kiprop
Q9104,Alfred Kirwa Yego
Q9115,Mehdi Baala
Q9112,Nick Willis
Q9119,Kenenisa Bekele
Q9123,Ernest Rutherford
Q9126,Edwin Soi
Q9124,Eliud Kipchoge
Q9130,Erwin Rudolf Alexander Schrödinger
Q9132,Sileshi Sihine
Q9138,Micah Kogo
Q9140,Brimin Kipruto
Q9146,Richard Mateelong
Q9150,Enkhe Khan
Q9154,Dayron Robles
Q9157,David Payne
Q9162,David Oliver
Q9161,Josip Broz Tito
Q9171,Elbeg Nigülesügchi Khan
Q9191,René Descartes
Q9200,Paul
Q9204,C. S. Lewis
Q9215,Sigmund Freud
Q9218,Gün Temür Khan
Q9222,Örüg Temür Khan
Q9226,Öljei Temür Khan
Q9235,Georg Wilhelm Friedrich Hegel
Q9236,Delbeg Khan
Q9243,Oyiradai
Q9247,Adai Khan
Q9250,Tayisung Khan Toghtoa Bukha
Q9257,Agbarjin
Q9263,Esen Taishi
Q9281,Mahakörgis Khan
Q9294,Ibn Khaldun
Q9295,Manduul Khan
Q9293,Molon Khan
Q9304,Dayan Khan
Q9308,Bars Bolud Jinong
Q9312,Immanuel Kant
Q9319,Tintoretto
Q9317,John Maynard Keynes
Q9327,Guy de Maupassant
Q9324,Bodi Alagh Khan
Q9329,Daraisung Guden Khan
Q9335,Tümen Jasagtu Khan
Q9333,Laozi
Q9339,Buyan Sechen Khan
Q9342,Palma Vecchio
Q9341,Ligdan Khan
Q9345,Ejei Khan
Q9348,Parmigianino
Q9354,Gianfranco Zola
Q9353,John Locke
Q9358,Friedrich Nietzsche
Q9364,Jean-Paul Sartre
Q9372,Sima Qian
Q9379,Luis Durnwalder
Q9381,Adam Smith
Q9387,Max Weber
Q9391,Ludwig Wittgenstein
Q9399,Silvius Magnago
Q9397,Zhu Xi
Q9422,Mahavira
Q9424,Jack Nicklaus
Q9434,Arnold Palmer
Q9438,Thomas Aquinas
Q9439,Victoria
Q9440,Paolo Veronese
Q9441,Gautama Buddha
Q9446,Pete Sampras
Q9455,Vallabhbhai Patel
Q9457,Abid Surti
Q9458,Muhammad
Q9475,Harbhajan Singh
Q9486,Graham Taylor
Q9488,Sachin Tendulkar
Q9509,Piero Gros
Q9513,A. P. J. Abdul Kalam
Q9535,Shahrukh Khan
Q9537,Glenda Schroeder
Q9543,Salman Khan
Q9546,Al-Ghazali
Q9545,Tony Blair
Q9550,Katrina Kaif
Q9554,Martin Luther
Q9559,John Major
Q9557,Aamir Khan
Q9570,Amitabh Bachchan
Q9575,Harivansh Rai Bachchan
Q9576,James Callaghan
Q9577,Katja Seizinger
Q9582,Gerald Ford
Q9586,Annemarie Moser-Pröll
Q9588,Richard Nixon
Q9594,Dorit Aharonov
Q9599,Susanne Albers
Q9602,Frances E. Allen
Q9605,Sarah Allen
Q9608,Dominic Sanz
Q9640,Lyndon B. Johnson
Q9670,Caroline Lucas
Q9671,Michael Schumacher
Q9675,Kelly Smith
Q9673,Lewis Hamilton
Q9682,Elizabeth II
Q9685,"Diana, Princess of Wales"
Q9695,Henry Purcell
Q9696,John F. Kennedy
Q9703,Emperor Gaozong of Tang
Q9700,Emperor Gaozu of Tang
Q9701,Emperor Taizong of Tang
Q9711,Honoré de Balzac
Q9717,Emperor Zhongzong of Tang
Q9722,Emperor Ruizong of Tang
Q9726,Gioachino Rossini
Q9738,Wu Zetian
Q9743,Emperor Shang of Tang
Q9746,Emperor Xuanzong of Tang
Q9749,Emperor Suzong of Tang
Q9755,Emperor Dezong of Tang
Q9753,Emperor Daizong of Tang
Q9763,Emperor Muzong of Tang
Q9760,Emperor Shunzong of Tang
Q9761,Emperor Xianzong of Tang
Q9776,Emperor Jingzong of Tang
Q9790,Emperor Wenzong of Tang
Q9801,Emperor Wuzong of Tang
Q9825,Emperor Xuānzong of Tang
Q9886,Emperor Yizong of Tang
Q9891,Emperor Zhaozong of Tang
Q9889,Emperor Xizong of Tang
Q9895,Anita K. Jones
Q9892,Emperor Ai of Tang
Q9912,Annie Antón
Q9916,Dwight D. Eisenhower
Q9931,Cecilia R. Aragon
Q9958,Winifred Asprey
Q9957,Hongwu Emperor
Q9960,Ronald Reagan
Q9961,Jianwen Emperor
Q9965,Yongle Emperor
Q9972,Hongxi Emperor
Q9977,Xuande Emperor
Q9983,Zhengtong Emperor
Q9991,Chenghua Emperor
Q9988,Jingtai Emperor
Q9994,Hongzhi Emperor
Q10007,Zhengde Emperor
Q10004,Yevgeny Chernyaev
Q10011,Jiajing Emperor
Q10058,Justine Smethurst
Q10059,Longqing Emperor
Q10062,Laura Berg
Q10061,Wanli Emperor
Q10066,Tianqi Emperor
Q10065,Taichang Emperor
Q10070,Jacob Appelbaum
Q10068,Lindsey Vonn
Q10069,Chongzhen Emperor
Q10085,Tina Maze
Q10091,Janica Kostelić
Q10088,Tipu Sultan
Q10089,Julia Mancuso
Q10095,Annelise Coberger
Q10092,Maria Höfl-Riesch
Q10093,Viktoria Rebensburg
Q10101,Picabo Street
Q10106,Kerstin Szymkowiak
Q10105,Amy Williams
Q10110,Shelley Rudman
Q10108,Anja Huber
Q10112,Edith Hannam
Q10115,Helen Aitchison
Q10118,Victoria Azarenka
Q10117,Alice Greene
Q10120,Laura Robson
Q10125,Andy Murray
Q10131,Francisco Varallo
Q10129,Lisa Raymond
Q10132,Rafael Nadal
Q10133,Suetonius
Q10218,Rahul Gandhi
Q10233,V. V. S. Laxman
Q10240,Dadabhai Naoroji
Q10261,Pythagoras
Q10270,Jarkko Nieminen
Q10287,Manuel Valls
Q10390,John McCain
Q10411,Odd Børretzen
Q10479,"Catherine, Duchess of Cambridge"
Q10490,Ayrton Senna da Silva
Q10494,Alain Prost
Q10501,Nigel Mansell
Q10505,Damon Hill
Q10510,Jenson Button
Q10514,Fernando Alonso
Q10520,David Beckham
Q10524,Ryan Giggs
Q10531,Luther Blissett
Q10536,John Barnes
Q10543,Tommy Mooney
Q10548,Nigel Gibbs
Q10552,Robert Page
Q10556,Heiðar Helguson
Q10560,Freddie Ljungberg
Q10569,Danny Graham
Q10572,Adrian Mariappa
Q10577,Tom Cleverley
Q10581,Tommy Smith
Q10585,Ben Foster
Q10590,Gavin Mahon
Q10588,Marlon King
Q10594,Alec Chamberlain
Q10592,Marcus Gayle
Q10598,David James
Q10599,Sean Dyche
Q10602,Ashley Young
Q10603,Marvin Sordell
Q10600,Ray Lewington
Q10601,Kenny Jackett
Q10606,Lloyd Doyley
Q10611,Aidy Boothroyd
Q10628,Giampaolo Pozzo
Q10633,Queen Elizabeth The Queen Mother
Q10645,Greg Brady
Q10648,Gordon Brown
Q10652,Alex Salmond
Q10666,Scott Loach
Q10667,Nyron Nosworthy
Q10664,Neville Chamberlain
Q10665,Kim Jong-il
Q10668,Fitz Hall
Q10678,Yann-Fañch Kemener
Q10679,Denez Prigent
Q10681,Alan Stivell
Q10685,Louise Ebrel
Q10689,Didier Squiban
Q10694,Leanne Wood
Q10695,Dan Ar Braz
Q10696,Gweltaz ar Fur
Q10701,Gilles Servat
Q10707,Robert Mugabe
Q10711,Manuel Almunia
Q10709,Fernando Forestieri
Q10715,Lee Hodson
Q10718,John Eustace
Q10716,Tibor Sekelj
Q10723,Mark Yeates
Q10720,Neuton
Q10721,Henri Nouvel
Q10726,Chris Iwelumo
Q10727,Steve Leo Beleck
Q10724,Jonathan Hogg
Q10725,Troy Deeney
Q10730,Sean Murray
Q10731,Mick Foley
Q10729,Stephen McGinn
Q10735,Matěj Vydra
Q10732,Daniel Pudil
Q10733,Prince Buaben
Q10738,Dwayne Johnson
Q10736,Ikechi Anya
Q10754,Almen Abdi
Q10758,Marco Cassetti
Q10761,Connor Smith
Q10767,Tommie Hoban
Q10764,Jonathan Bond
Q10772,Alex Geijo
Q10781,Geoffrey Mujangi Bia
Q10785,Cristian Battocchio
Q10788,Nathaniel Chalobah
Q10792,Joel Ekstrand
Q10796,Jean-Alain Fanchone
Q10819,Mariano Rajoy
Q10837,Gabby Logan
Q10845,Kelly Cates
Q10857,Rachel Brown
Q10860,Siobhan Chamberlain
Q10861,Hope Powell
Q10864,Karen Bardsley
Q10865,Assunta Legnante
Q10871,Steph Houghton
Q10868,Casey Stoney
Q10869,Rachel Unitt
Q10875,Laura Bassett
Q10873,Leo von Caprivi
Q10878,Dunia Susi
Q10879,Sophie Bradley
Q10883,Rachel Yankey
Q10881,Claire Rafferty
Q10885,Fara Williams
Q10889,Karen Carney
Q10896,Jill Scott
Q10902,Anita Asante
Q10905,Eniola Aluko
Q10911,Ellen White
Q10914,Rachel Williams
Q10918,Katie Chapman
Q10916,Toni Duggan
Q10917,Faye White
Q10937,T. K. Attwood
Q10942,Donna Auguste
Q10947,Chrisanthi Avgerou
Q10955,Alois Pupp
Q10953,Henriette Avram
Q10959,Ruzena Bajcsy
Q10994,Karl Erckert
Q10993,Tiger Woods
Q11031,Vilfredo Pareto
Q11065,Pierre Bouguer
Q11075,Abd al-Rahman al-Sufi
Q11079,Muḥammad ibn Jābir al-Ḥarrānī al-Battānī
Q11093,Valerie Solanas
Q11100,Deval Patrick
Q11107,Sonia Sotomayor
Q11104,Ibn al-Haytham
Q11105,Elena Kagan
Q11109,John Paul Stevens
Q11116,Ruth Bader Ginsburg
Q11124,Stephen Breyer
Q11132,Sandra Day O'Connor
Q11133,Abū Ishāq Ibrāhīm al-Zarqālī
Q11138,Samuel Alito
Q11142,Clarence Thomas
Q11153,John Roberts
Q11156,Antonin Scalia
Q11171,Anthony Kennedy
Q11172,Addys Mercedes
Q11187,Georgi Kandelaki
Q11192,Kimi Räikkönen
Q11239,David Rockefeller
Q11237,Nelson Rockefeller
Q11256,Fidel Castro
Q11270,Fulgencio Batista
Q11284,Farciot Edouart
Q11300,Edmund H. Hansen
Q11305,John Gaeta
Q11313,John Knoll
Q11318,Franco Arese
Q11319,David DeCoteau
Q11322,Louis King
Q11321,Karl Brown
Q11330,Masato Harada
Q11328,Simone Collio
Q11335,Joseph Zito
Q11333,Kevin Yagher
Q11338,Jack Sholder
Q11359,Aryabhata
Q11356,Anvari
Q11362,Ibn Bajjah
Q11373,Abu Ma'shar al-Balkhi
Q11431,Evelyn Berezin
Q11428,Jean Bartik
Q11433,Francine Berman
Q11440,Danielle Bunten Berry
Q11458,Orna Berry
Q11459,Serena Williams
Q11470,Sue Black
Q11483,Anita Borg
Q11481,Kathleen Booth
Q11486,Suw Charman-Anderson
Q11487,Jennifer Tour Chayes
Q11484,Maxine D. Brown
Q11485,Jean-Claude Killy
Q11490,Lynn Conway
Q11488,Amanda Chessell
Q11489,Anne Condon
Q11493,Danese Cooper
Q11497,Suzy Covey
Q11504,Kate Craig-Wood
Q11509,Xanana Gusmão
Q11512,'Alhan Nahfan
Q11515,(.)p(...)nin
Q11513,Ammurapi
Q11522,Pamela Kyle Crossley
Q11529,Leah Culver
Q11542,Dorothy E. Denning
Q11571,Cristiano Ronaldo
Q11569,Susan T. Dumais
Q11578,Venus Williams
Q11576,Raúl
Q11583,Lucie Hradecká
Q11580,Cynthia Dwork
Q11581,Andrea Sestini Hlaváčková
Q11586,Annie Easley
Q11584,Iker Casillas
Q11590,Phyllis Fox
Q11588,Thelma Estrin
Q11589,Jeanne Ferrante
Q11594,Frances A. Rosamond
Q11595,John Adair
Q11596,Charlotte Froese Fischer
Q11603,Stan Coveleski
Q11600,Susan Gerhart
Q11607,"Jon Huntsman, Jr."
Q11604,Carole Goble
Q11605,Adele Goldberg
Q11608,Anne Hutchinson
Q11609,Shafrira Goldwasser
Q11614,Diane Greene
Q11615,Sheila Greibach
Q11612,Susan L. Graham
Q11613,Harry S. Truman
Q11619,Nancy Davis Griffeth
Q11617,Aaliyah
Q11623,Nancy Hafkin
Q11620,Rebecca Grinter
Q11626,Wendy Hall
Q11627,Black Francis
Q11624,Lois Haibt
Q11625,Ashawna Hailey
Q11630,Jane Hillston
Q11628,Margaret Hamilton
Q11638,Molly Holzschlag
Q11636,Betty Holberton
Q11637,Judy Garland
Q11641,Grace Hopper
Q11644,Ayanna Howard
Q11645,Cathy Hudgins
Q11648,Mary Jane Irwin
Q11659,Nadia Petrova
Q11657,Maria Kirilenko
Q11662,Steffi Graf
Q11666,Maria Sharapova
Q11667,Elena Dementieva
Q11664,Mari Alkatiri
Q11665,José Ramos-Horta
Q11670,Jim Hodges
Q11671,David Beasley
Q11668,Nikki Haley
Q11669,Mark Sanford
Q11674,David Paterson
Q11675,Eliot Spitzer
Q11672,"Carroll A. Campbell, Jr."
Q11673,Andrew Cuomo
Q11676,George Pataki
Q11677,Lindsay Davenport
Q11682,Justine Henin
Q11680,Jennifer Capriati
Q11685,Kim Clijsters
Q11688,Leah Jamieson
Q11689,Sabina Jeschke
Q11697,Andreas Hofer
Q11702,John Boehner
Q11715,Leopold Figl
Q11722,Rudolf Ramek
Q11726,Karl Renner
Q11730,Otto Bauer
Q11734,Engelbert Dollfuss
Q11735,Michael Spindelegger
Q11732,Michael Mayr
Q11742,Lynne Jolitz
Q11743,Lila Kari
Q11740,Katherine Johnson
Q11745,Arfa Karim
Q11748,Anna Karlin
Q11749,Lydia Kavraki
Q11754,Maria Klawe
Q11755,Daphne Koller
Q11752,Mary Kenneth Keller
Q11753,Heinz Fischer
Q11758,L. L. Zamenhof
Q11757,Janet L. Kolodner
Q11762,Jürgen Trittin
Q11763,Monica S. Lam
Q11760,Marta Kwiatkowska
Q11766,Susan Landau
Q11770,Amy L. Lansky
Q11771,Corinna E. Lathan
Q11775,Ming C. Lin
Q11773,Nancy Leveson
Q11777,Joyce Currie Little
Q11778,Liuba Shrira
Q11779,Nancy Lynch
Q11782,Andreas Khol
Q11793,George Tchobanoglous
Q11806,John Adams
Q11815,James Monroe
Q11812,Thomas Jefferson
Q11813,James Madison
Q11816,John Quincy Adams
Q11817,Andrew Jackson
Q11823,Pope Theodoros II of Alexandria
Q11820,Martin Van Buren
Q11821,Sergey Belyavsky
Q11826,Al-Biruni
Q11830,Carlos Ulrrico Cesco
Q11828,Alastair G. W. Cameron
Q11835,Manuel Dias
Q11833,Josep Comas i Solà
Q11842,João d'Espinha
Q11840,Kenneth Edgeworth
Q11847,Antoni Grabowski
Q11863,Julio Ángel Fernández
Q11860,Silvio Berlusconi
Q11869,William Henry Harrison
Q11875,José Gabriel Funes
Q11873,Dale Frail
Q11878,Brett J. Gladman
Q11879,Adriaen van der Cabel
Q11877,Ivory Joe Hunter
Q11881,John Tyler
Q11887,William Rowan Hamilton
